Namespace(run_folder='../', dataset='MR-Default-TAG-None', learning_rate=0.0001, batch_size=4, num_epochs=30, model_name='MR-Default-TAG-None_idx8', sampled_num=512, dropout=0.5, num_hidden_layers=2, num_timesteps=1, ff_hidden_size=1024, num_neighbors=4, fold_idx=8)
Loading data...
loading data
# classes: 2
# maximum node tag: 1
# data: 10662
300
Loading data... finished!
Writing to /media/SSD/Doutorado/Doutorado/runs_UGformerV1_Sup/MR-Default-TAG-None_idx8

| epoch   1 | time: 21.45s | loss 6658.23 | test acc 72.05 | 
| epoch   2 | time: 21.27s | loss 2406.21 | test acc 74.11 | 
| epoch   3 | time: 20.49s | loss 1819.94 | test acc 72.89 | 
| epoch   4 | time: 20.50s | loss 1647.19 | test acc 74.77 | 
| epoch   5 | time: 20.50s | loss 1577.89 | test acc 76.08 | 
| epoch   6 | time: 20.50s | loss 1530.54 | test acc 77.02 | 
| epoch   7 | time: 20.50s | loss 1486.51 | test acc 78.80 | 
| epoch   8 | time: 20.52s | loss 1478.42 | test acc 77.20 | 
| epoch   9 | time: 20.58s | loss 1446.24 | test acc 78.42 | 
| epoch  10 | time: 20.49s | loss 1435.06 | test acc 79.92 | 
| epoch  11 | time: 20.49s | loss 1429.11 | test acc 77.30 | 
| epoch  12 | time: 20.48s | loss 1401.08 | test acc 77.20 | 
| epoch  13 | time: 20.47s | loss 1384.72 | test acc 80.11 | 
| epoch  14 | time: 20.47s | loss 1367.39 | test acc 73.36 | 
| epoch  15 | time: 20.47s | loss 1357.41 | test acc 80.77 | 
| epoch  16 | time: 20.47s | loss 1350.21 | test acc 78.52 | 
| epoch  17 | time: 20.47s | loss 1332.98 | test acc 80.11 | 
| epoch  18 | time: 20.49s | loss 1312.49 | test acc 77.95 | 
| epoch  19 | time: 20.47s | loss 1300.80 | test acc 74.86 | 
| epoch  20 | time: 20.48s | loss 1298.10 | test acc 80.58 | 
| epoch  21 | time: 20.48s | loss 1282.24 | test acc 77.77 | 
| epoch  22 | time: 20.48s | loss 1268.84 | test acc 78.42 | 
| epoch  23 | time: 20.48s | loss 1249.91 | test acc 77.49 | 
| epoch  24 | time: 20.48s | loss 1248.77 | test acc 79.92 | 
| epoch  25 | time: 20.48s | loss 1234.43 | test acc 80.02 | 
| epoch  26 | time: 20.71s | loss 1219.97 | test acc 78.99 | 
| epoch  27 | time: 20.76s | loss 1210.88 | test acc 80.11 | 
| epoch  28 | time: 20.66s | loss 1207.47 | test acc 78.33 | 
| epoch  29 | time: 20.50s | loss 1193.53 | test acc 77.39 | 
| epoch  30 | time: 20.49s | loss 1180.70 | test acc 80.58 | 
