Namespace(run_folder='../', dataset='MR-Order-Multigraph-TAG-None', learning_rate=0.0001, batch_size=4, num_epochs=30, model_name='MR-Order-Multigraph-TAG-None_idx1', sampled_num=512, dropout=0.5, num_hidden_layers=2, num_timesteps=1, ff_hidden_size=1024, num_neighbors=4, fold_idx=1)
Loading data...
loading data
# classes: 2
# maximum node tag: 1
# data: 10662
300
Loading data... finished!
Writing to /media/SSD/Doutorado/Doutorado/runs_UGformerV1_Sup/MR-Order-Multigraph-TAG-None_idx1

| epoch   1 | time: 21.67s | loss 6774.37 | test acc 68.04 | 
| epoch   2 | time: 21.65s | loss 2506.17 | test acc 74.98 | 
| epoch   3 | time: 21.66s | loss 1788.83 | test acc 72.63 | 
| epoch   4 | time: 21.67s | loss 1636.04 | test acc 76.66 | 
| epoch   5 | time: 21.68s | loss 1552.04 | test acc 77.23 | 
| epoch   6 | time: 21.67s | loss 1518.43 | test acc 76.48 | 
| epoch   7 | time: 21.67s | loss 1495.58 | test acc 74.88 | 
| epoch   8 | time: 21.67s | loss 1467.84 | test acc 78.54 | 
| epoch   9 | time: 21.61s | loss 1465.34 | test acc 77.04 | 
| epoch  10 | time: 21.25s | loss 1439.25 | test acc 77.51 | 
| epoch  11 | time: 21.24s | loss 1420.24 | test acc 78.54 | 
| epoch  12 | time: 21.25s | loss 1406.44 | test acc 77.69 | 
| epoch  13 | time: 21.22s | loss 1391.64 | test acc 78.35 | 
| epoch  14 | time: 20.74s | loss 1388.01 | test acc 77.13 | 
| epoch  15 | time: 20.74s | loss 1375.54 | test acc 76.10 | 
| epoch  16 | time: 20.74s | loss 1366.71 | test acc 79.85 | 
| epoch  17 | time: 20.64s | loss 1351.18 | test acc 79.10 | 
| epoch  18 | time: 20.57s | loss 1326.75 | test acc 77.23 | 
| epoch  19 | time: 20.56s | loss 1334.47 | test acc 79.94 | 
| epoch  20 | time: 20.57s | loss 1323.43 | test acc 79.66 | 
| epoch  21 | time: 20.57s | loss 1311.68 | test acc 79.19 | 
| epoch  22 | time: 20.57s | loss 1301.40 | test acc 80.41 | 
| epoch  23 | time: 20.57s | loss 1290.63 | test acc 76.66 | 
| epoch  24 | time: 20.56s | loss 1288.87 | test acc 77.69 | 
| epoch  25 | time: 20.56s | loss 1266.21 | test acc 78.73 | 
| epoch  26 | time: 20.56s | loss 1257.85 | test acc 79.66 | 
| epoch  27 | time: 20.56s | loss 1266.96 | test acc 79.94 | 
| epoch  28 | time: 20.57s | loss 1248.71 | test acc 80.22 | 
| epoch  29 | time: 20.60s | loss 1235.13 | test acc 79.76 | 
| epoch  30 | time: 20.56s | loss 1234.37 | test acc 79.66 | 
