Namespace(run_folder='../', dataset='MR-Order_Circular-TAG-None', learning_rate=0.0001, batch_size=4, num_epochs=30, model_name='MR-Order_Circular-TAG-None_idx2', sampled_num=512, dropout=0.5, num_hidden_layers=2, num_timesteps=1, ff_hidden_size=1024, num_neighbors=4, fold_idx=2)
Loading data...
loading data
# classes: 2
# maximum node tag: 1
# data: 10662
300
Loading data... finished!
Writing to /media/SSD/Doutorado/Doutorado/runs_UGformerV1_Sup/MR-Order_Circular-TAG-None_idx2

| epoch   1 | time: 20.74s | loss 6448.92 | test acc 73.64 | 
| epoch   2 | time: 20.72s | loss 2474.62 | test acc 70.73 | 
| epoch   3 | time: 20.35s | loss 1776.04 | test acc 75.70 | 
| epoch   4 | time: 20.30s | loss 1621.93 | test acc 75.61 | 
| epoch   5 | time: 20.33s | loss 1557.05 | test acc 74.95 | 
| epoch   6 | time: 20.37s | loss 1509.62 | test acc 77.58 | 
| epoch   7 | time: 20.30s | loss 1485.01 | test acc 76.92 | 
| epoch   8 | time: 19.91s | loss 1461.44 | test acc 76.55 | 
| epoch   9 | time: 19.90s | loss 1449.52 | test acc 78.61 | 
| epoch  10 | time: 19.90s | loss 1444.59 | test acc 73.73 | 
| epoch  11 | time: 19.90s | loss 1429.43 | test acc 76.74 | 
| epoch  12 | time: 20.05s | loss 1403.95 | test acc 75.61 | 
| epoch  13 | time: 20.10s | loss 1398.97 | test acc 79.74 | 
| epoch  14 | time: 20.17s | loss 1387.93 | test acc 80.39 | 
| epoch  15 | time: 20.10s | loss 1375.06 | test acc 75.61 | 
| epoch  16 | time: 19.91s | loss 1365.70 | test acc 79.55 | 
| epoch  17 | time: 19.91s | loss 1350.29 | test acc 72.61 | 
| epoch  18 | time: 19.65s | loss 1341.60 | test acc 79.83 | 
| epoch  19 | time: 19.61s | loss 1337.44 | test acc 80.58 | 
| epoch  20 | time: 19.61s | loss 1323.49 | test acc 79.55 | 
| epoch  21 | time: 19.61s | loss 1319.06 | test acc 80.02 | 
| epoch  22 | time: 19.61s | loss 1305.86 | test acc 75.61 | 
| epoch  23 | time: 19.61s | loss 1291.61 | test acc 80.86 | 
| epoch  24 | time: 19.61s | loss 1286.07 | test acc 80.21 | 
| epoch  25 | time: 19.61s | loss 1273.49 | test acc 81.61 | 
| epoch  26 | time: 19.64s | loss 1269.43 | test acc 79.46 | 
| epoch  27 | time: 19.64s | loss 1255.63 | test acc 79.55 | 
| epoch  28 | time: 19.65s | loss 1256.78 | test acc 80.49 | 
| epoch  29 | time: 19.64s | loss 1241.85 | test acc 80.96 | 
| epoch  30 | time: 19.62s | loss 1228.36 | test acc 76.83 | 
